망치 강화,클릭 당 획득량,망치 강화 비용,추가 레벨 표시,재질,,이펙트 강화,오토클릭 획득량,이펙트 강화 비용,강화 단계,이펙트
0,1,25,0,1001_0,,0,0,50,0,2001_0
1,1,50,1,1001_0,,1,3,100,0,2001_0
2,2,80,2,1001_0,,2,4,170,0,2001_0
3,3,128,3,1001_0,,3,6,289,0,2001_0
4,4,205,4,1001_0,,4,9,491,0,2001_0
5,5,327,5,1001_0,,5,13,835,1,2002_0
6,7,524,0,1002_0,,6,19,1419,1,2002_0
7,9,838,1,1002_0,,7,27,2412,1,2002_0
8,12,1340,2,1002_0,,8,39,4100,1,2002_0
9,16,2144,3,1002_0,,9,57,6970,1,2002_0
10,21,3430,4,1002_0,,10,83,11800,1,2002_0
11,28,5488,5,1002_0,,11,120,20000,1,2002_0
12,37,8780,0,1003_0,,12,174,34000,1,2002_0
13,49,14000,1,1003_0,,13,252,58000,1,2002_0
14,65,22500,2,1003_0,,14,365,98000,1,2002_0
15,87,36000,3,1003_0,,15,529,167000,2,2003_0
16,117,58000,4,1003_0,,16,767,284000,2,2003_0
17,158,93000,5,1003_0,,17,1111,483000,2,2003_0
18,213,149000,0,1004_0,,18,1609,820000,2,2003_0
19,288,238000,1,1004_0,,19,2330,1390000,2,2003_0
20,389,381000,2,1004_0,,20,3373,2360000,2,2003_0
21,525,610000,3,1004_0,,21,4886,4000000,2,2003_0
22,709,976000,4,1004_0,,22,7081,6800000,2,2003_0
23,958,1560000,5,1004_0,,23,10267,11500000,2,2003_0
24,1293,2500000,0,1005_0,,24,14887,19500000,2,2003_0
25,1746,4000000,1,1005_0,,25,21586,33000000,3,2004_0
26,2357,6400000,2,1005_0,,26,31300,56000000,3,2004_0
27,3182,10200000,3,1005_0,,27,45385,95000000,3,2004_0
28,4295,16300000,4,1005_0,,28,65809,161000000,3,2004_0
29,5798,26000000,5,1005_0,,29,95423,273000000,3,2004_0
30,7827,41000000,0,1006_0,,30,138363,464000000,3,2004_0
